Original test utterance,Compensated for Kaldi NL,F1 Nifti decode,F1 Nifti WER,F1 Kaldi NL decode,F1 Kaldi NL WER,F2 Nifti decode,F2 Nifti WER,F2 Kaldi NL decode,F2 Kaldi NL WER,F3 Nifti decode,F3 Nifti WER,F3 Kaldi NL decode,F3 Kaldi NL WER,F4 Nifti decode,F4 Nifti WER,F4 Kaldi NL decode,F4 Kaldi NL WER,F5 Nifti decode,F5 Nifti WER,F5 Kaldi NL decode,F5 Kaldi NL WER,M1 Nifti decode,M1 Nifti WER,M1 Kaldi NL decode,M1 Kaldi NL WER,M2 Nifti decode,M2 Nifti WER,M2 Kaldi NL decode,M2 Kaldi NL WER,M3 Nifti decode,M3 Nifti WER,M3 Kaldi NL decode,M3 Kaldi NL WER,M4 Nifti decode,M4 Nifti WER,M4 Kaldi NL decode,M4 Kaldi NL WER,M5 Nifti decode,M5 Nifti WER,M5 Kaldi NL decode,M5 Kaldi NL WER
ik wil naar het erasmusgebouw,ik wil naar het erasmus gebouw,ik wil naar het erasmusgebouw,0.0,ik wil naar het erasmus gebouw,0.0,ik wil naar het erasmusgebouw,0.0,ik wil naar het erasmus gebouw,0.0,ik wil naar het erasmusgebouw,0.0,ik wil naar het was maasgebouw,0.3333333333333333,ik wil naar het erasmusgebouw,0.0,ik wil naar het erasmus gebouw,0.0,ik wil naar het erasmusgebouw,0.0,ik wil naar het erasmus gebouw,0.0,ik wil naar het erasmusgebouw,0.0,ik wil naar het erasmus gebouw,0.0,ik wil naar het erasmusgebouw,0.0,ik wilde het rasmus gebouw,0.5,ik wil naar een erasmusgebouw,0.2,ik wil naar rasmussen gebouw,0.3333333333333333,ik wil naar het erasmusgebouw,0.0,ik wil naar huis rasmus gebouw,0.3333333333333333,ik wil naar het erasmusgebouw,0.0,ik wil naar het erasmus gebouw,0.0
ik moet richting het huygensgebouw,ik moet richting het huigens gebouw,ik moet richting het huygensgebouw,0.0,ik moet richting het huigens gebouw,0.0,ik moet richting het huygensgebouw,0.0,ik moet richting het huigens gebouw,0.0,ik moet richting het huygensgebouw,0.0,ik moet richting het huigens gebouw,0.0,ik moet richting het huygensgebouw,0.0,ik moet de richting het gebouw,0.3333333333333333,ik moet richting het huygensgebouw,0.0,ik moet richting het huigens gebouw,0.0,ik moet richting het huygensgebouw,0.0,ik moet richting het huigens gebouw,0.0,ik moet richting het huygensgebouw,0.0,ik moet richting het huigens gebouw,0.0,ik moet richting het huygensgebouw,0.0,ik moet richting het huis gunstige waal,0.5,ik moet richting het huygensgebouw,0.0,ik moet richting het huigens gebouw,0.0,ik moet richting het huygensgebouw,0.0,oh ik moet richting het huigens gebouw,0.16666666666666666
ik ga naar mercator,ik ga naar mercator,ik ga naar mercator,0.0,ik ga naar mercator,0.0,ik ga naar mercator,0.0,ik ga naar mijn kater,0.5,ik ga naar mercator,0.0,ik ga naar mercator,0.0,ik ga naar mercator,0.0,ik ga naar mercator,0.0,ik ga naar mercator,0.0,ik ga naar mercator,0.0,ik ga naar mercator,0.0,ik ga naar mercator,0.0,ik ga naar mercator,0.0,ik had er mercator,0.5,ik ga naar mercator,0.0,ik ga naar mercator,0.0,ik ga naar mercator,0.0,ik ga naar mercator,0.0,ik ga naar mercator,0.0,ik ga naar mekka te horen,0.75
ik moet naar het spinozagebouw,ik moet naar het spinoza gebouw,ik moet naar het spinozagebouw,0.0,ik moet naar het spinoza gebouw,0.0,ik moet naar het spinozagebouw,0.0,ik moet naar het spinoza gebouw,0.0,ik moet naar het spinozagebouw,0.0,ik moet naar het spinoza gebouw,0.0,ik moet naar het spinozagebouw,0.0,ik moet naar het spinoza gebouw,0.0,ik moet naar het spinozagebouw,0.0,ik moet naar het spinoza gebouw,0.0,ik moet naar het spinozagebouw,0.0,ik moet naar het spinoza gebouw,0.0,ik moet naar het spinozagebouw,0.0,ik moet er naar het spinoza gebouw,0.16666666666666666,ik moet naar het spinozagebouw,0.0,ik moet naar het spinoza gebouw,0.0,ik moet naar het spinozagebouw,0.0,ik moet naar het spinoza gebouw,0.0,ik moet naar het spinozagebouw,0.0,ik moet naar het spinoza gebouw,0.0
zou je mij naar mercator kunnen brengen,zou je mij naar mercator kunnen brengen,zou je mij naar mercator kunnen brengen,0.0,zij maar naar mekka te kunnen brengen,0.7142857142857143,zou je mij naar mercator kunnen brengen,0.0,zou je mij naar mijn kater kunnen brengen,0.2857142857142857,zou je mij naar mercator kunnen brengen,0.0,zou jij mij naar mijn kunnen brengen,0.2857142857142857,zou je mij naar mercator kunnen brengen,0.0,zou je mij naar mekka mercator kunnen brengen,0.14285714285714285,zou je mij naar mercator kunnen brengen,0.0,zou je mij na mercator kunnen brengen,0.14285714285714285,zou je mij naar mercator kunnen brengen,0.0,zou je mij naar mercator kunnen brengen,0.0,zou je mij naar mercator kunnen brengen,0.0,zou je mij naar mijn mercator kunnen brengen,0.14285714285714285,zou je mij naar mercator kunnen brengen,0.0,zou je mij naar mercato kunnen brengen,0.14285714285714285,zou je mij naar mercator kunnen brengen,0.0,zou je mij naar mercator kunnen brengen,0.0,zou je mij naar mercator kunnen brengen,0.0,zou je mij naar mercator kunnen brengen,0.0
zou je mij naar het erasmusgebouw kunnen brengen,zou je mij naar het erasmus gebouw kunnen brengen,zou je mij naar het erasmusgebouw kunnen brengen,0.0,zij mij naar het erasmus gebouw kunnen brengen,0.2222222222222222,zou je mij naar het erasmusgebouw kunnen brengen,0.0,zou hij mij naar het erasmus gebouw kunnen brengen,0.1111111111111111,zou je mij naar het erasmusgebouw kunnen brengen,0.0,zou je mee naar het rasmussen gebouwen kunnen brengen,0.3333333333333333,zou je mij naar erasmusgebouw kunnen brengen,0.125,zou je mij naar het erasmus rauw kunnen brengen,0.1111111111111111,zou je mij naar het erasmusgebouw kunnen brengen,0.0,zou je mij naar het erasmus gebouw kunnen brengen,0.0,zou je mij naar het erasmusgebouw kunnen brengen,0.0,zou u mij naar het erasmus gebouwen kunnen brengen,0.2222222222222222,zou je mij naar het erasmusgebouw kunnen brengen,0.0,zou je mij naar het rasmus gebouw kunnen brengen,0.1111111111111111,zou je mij naar het erasmusgebouw kunnen brengen,0.0,nou je mij naar het erasmus gebouwen kunnen brengen,0.2222222222222222,zou je mij naar het erasmusgebouw kunnen brengen,0.0,zou je mij naar het erasmus gebouw kunnen brengen,0.0,zou je mij naar het erasmusgebouw kunnen brengen,0.0,zou je mij naar het erasmus gebouw kunnen brengen,0.0
je mag me bij het radboud ziekenhuis afzetten,je mag me bij het radboudziekenhuis afzetten,je mag me bij het radboud ziekenhuis afzetten,0.0,je mag me bij het radboudziekenhuis afzetten,0.0,je mag me bij het radboud ziekenhuis afzetten,0.0,je mag me bij het radboudziekenhuis afzetten,0.0,je mag me bij het radboud ziekenhuis afzetten,0.0,je mag me bij het radboudziekenhuis afzetten,0.0,je mag me bij het radboud ziekenhuis afzetten,0.0,je mag bij het radboudziekenhuis afzetten,0.14285714285714285,je mag me bij het radboud ziekenhuis afzetten,0.0,je mag me bij het radboudziekenhuis afzetten,0.0,je mag me bij het radboud ziekenhuis afzetten,0.0,je mag me bij het radboudziekenhuis afzetten,0.0,je mag me bij een radboud ziekenhuis afzetten,0.125,je mag me bij het radboudziekenhuis of zetten,0.2857142857142857,je mag me bij het radboud ziekenhuis afzetten,0.0,die men waar hij het radboudziekenhuis afzetten,0.5714285714285714,je mag me bij het radboud ziekenhuis afzetten,0.0,je mag me bij het radboudziekenhuis afzetten,0.0,je mag me bij het radboud ziekenhuis afzetten,0.0,je mag me bij het radboudziekenhuis afzetten,0.0
ik wil er bij het centraal station uit,ik wil er bij het centraal station uit,ik wil er bij het centraal station uit,0.0,ik wil er bij het centraal station uit,0.0,ik wil er bij het centraal station uit,0.0,ik wil er bij het centraal station uit,0.0,ik wil er bij het centraal station uit,0.0,ik hoor bij het centraal station uit,0.25,ik wil er bij centraal station uit,0.125,willen wij het centraal station uit,0.5,ik wil er bij het centraal station uit,0.0,ik wil er bij het centraal station uit,0.0,ik wil er bij het centraal station uit,0.0,ik wil er bij het centraal station uit,0.0,ik wil er bij centraal station uit,0.125,ik wil er bij het centraal station uit,0.0,ik wil er bij het centraal station uit,0.0,ik wil er bij het centraal station uit,0.0,ik wil er bij het centraal station uit,0.0,ik wil er bij het centraal station uit,0.0,ik wil er bij centraal station uit,0.125,ik wil hem bij het centraal station arts,0.25
hoe laat zijn we er,hoe laat zijn we er,hoe laat zijn we er,0.0,,1.0,hoe laat zijn we er,0.0,hoe laat zijn we er,0.0,hoe laat zijn we er,0.0,hoe laat zijn er,0.2,hoe laat zijn we er,0.0,hoe laat zijn we er,0.0,hoe laat zijn we er,0.0,hoe laat zijn we er,0.0,hoe laat zijn we er,0.0,,1.0,hoe laat zijn we er,0.0,hoe laat zijn d'r,0.4,hoe laat zijn we er,0.0,hoe laat zijn we er,0.0,hoe laat zijn we er,0.0,hoe laat zijn we er weer,0.2,hoe laat zijn we er,0.0,hoe laat zijn,0.4
hoe laat kom ik aan,hoe laat kom ik aan,hoe laat kom ik aan,0.0,hoe laat kom ik aan,0.0,hoe laat kom ik aan,0.0,hoe laat kom ik aan,0.0,hoe laat kom ik aan,0.0,hoe laat kom ik aan,0.0,hoe laat kom ik aan,0.0,hoe laat kom ik aan,0.0,hoe laat kom ik aan,0.0,hoe laat kom ik aan,0.0,hoe laat kom ik aan,0.0,hoe laat kom ik aan,0.0,hoe laat kom ik aan,0.0,hoe laat kom ik aan,0.0,hoe laat kom ik aan,0.0,hoe laat kom ik aan,0.0,hoe laat kom ik aan,0.0,hoe laat kom ik aan,0.0,hoe laat kom ik aan,0.0,hoe laat kom ik aan,0.0
hoe laat kom ik ongeveer op mijn bestemming,hoe laat kom ik ongeveer op mijn bestemming,hoe laat kom ik ongeveer op mijn bestemming,0.0,hoe laat kom ik ongeveer op mijn bestemming,0.125,hoe laat kom ik ongeveer op mijn bestemming,0.0,hoe laat kom ik ongeveer op mijn bestemming,0.125,hoe laat kom ik ongeveer op mijn bestemming,0.0,hoe laat kom ik ongeveer op mijn bestemming,0.0,hoe laat kom ik ongeveer op mijn bestemming,0.0,hoe laat kom ik ongeveer op mijn bestemming,0.0,hoe laat kom ik ongeveer op mijn bestemming,0.0,hoe laat kom ik ongeveer op mijn bestemming,0.0,hoe laat kom ik ongeveer op mijn bestemming,0.0,hoe laat kom ik ongeveer op mijn bestemming,0.0,hoe laat kom ik ongeveer op mijn bestemming,0.0,hoe laat kom ik ongeveer om mijn bestemming,0.125,hoe laat kom ik ongeveer op mijn bestemming,0.0,hoe laat kom ik ongeveer op mijn bestemming,0.0,hoe laat kom ik ongeveer op mijn bestemming,0.0,hoe laat kom ik ongeveer op mijn bestemming,0.0,hoe laat kom ik ongeveer op mijn bestemming,0.0,rats kom ik ongeveer aan mijn bestemming,0.375
wat is de aankomsttijd,wat is de aankomsttijd,wat is de aankomsttijd,0.0,want als de aankomsttijd,0.5,wat is de aankomsttijd,0.0,wat is de aankomsttijd,0.0,wat is de aankomsttijd,0.0,wat is de aankomsttijd,0.0,wat is de aankomsttijd,0.0,want als de aankomsttijd,0.5,wat is de aankomsttijd,0.0,wat is de aankomsttijd,0.0,wat is de aankomsttijd,0.0,wat is de aankomsttijd,0.0,wat is de aankomsttijd,0.0,wat is de aankomsttijd,0.0,wat is de aankomsttijd,0.0,wat is de aankomst tijd,0.5,wat is de aankomsttijd,0.0,wat is de aankomsttijd,0.0,wat is de aankomsttijd,0.0,wat is de aankomsttijd,0.0
hoe lang duurt het nog,hoe lang duurt het nog,hoe lang duurt het nog,0.0,,1.0,hoe lang duurt het nog,0.0,hoelang duurt het nog,0.4,hoe lang duurt het nog,0.0,hoelang duurt het nog,0.4,hoe lang duurt het nog,0.0,hoelang duurt het nog wel,0.6,hoe lang duurt het nog,0.0,hoelang duurt het nog,0.4,hoe lang duurt het nog,0.0,,1.0,hoe lang duurt het nog,0.0,hoelang duurt het nog,0.4,hoe lang duurt het nog,0.0,hoelang duurt het nog,0.4,hoe lang duurt het nog,0.0,,1.0,hoe lang duurt het nog,0.0,,1.0
kun je omkeren,kun je omkeren,kun je omkeren,0.0,kun je omkeren,0.0,kun je omkeren,0.0,ging je omkeren,0.3333333333333333,kun je omkeren,0.0,kun je omkeren,0.0,kun je omkeren,0.0,,1.0,kun je omkeren,0.0,kun je omkeren,0.0,kun je omkeren,0.0,,1.0,kun je omkeren,0.0,kun je omkeren,0.0,kun je omkeren,0.0,kun je je omkeren,0.3333333333333333,kun je omkeren,0.0,,1.0,kun je omkeren,0.0,,1.0
ik moet terug,ik moet terug,ik moet terug,0.0,,1.0,ik moet terug,0.0,,1.0,ik moet terug,0.0,,1.0,ik moet terug,0.0,,1.0,ik moet terug,0.0,ik moet terug,0.0,ik moet terug,0.0,,1.0,ik moet terug,0.0,,1.0,ik moet terug,0.0,,1.0,ik moet terug,0.0,,1.0,ik moet terug,0.0,,1.0
keer terug naar het startpunt,keer terug naar het startpunt,keer terug naar het startpunt,0.0,keert terug naar het startpunt,0.2,keer terug naar het startpunt,0.0,keert terug naar het startpunt,0.2,keer terug naar het startpunt,0.0,terug naar het startpunt,0.2,keer terug naar het startpunt,0.0,terug naar het startpunt,0.2,keer terug naar het startpunt,0.0,keert terug naar het startpunt,0.2,keer terug naar het startpunt,0.0,keer terug naar het startpunt,0.0,keer terug naar het startpunt,0.0,terug naar het startpunt,0.2,keer terug naar het startpunt,0.0,keert terug naar het startpunt,0.2,keer terug naar het startpunt,0.0,keert terug naar het startpunt,0.2,keer terug naar het startpunt,0.0,hier terug naar startpunt,0.4
wat is de volgende halte,wat is de volgende halte,wat is de volgende halte,0.0,wat is de volgende halte,0.0,wat is de volgende halte,0.0,wat is de volgende halte,0.0,wat is de volgende halte,0.0,want het is de volgende halte,0.4,wat is de volgende halte,0.0,wat is de volgende halte,0.0,wat is de volgende halte,0.0,wat is de volgende halte,0.0,wat is de volgende halte,0.0,wat is de volgende halte,0.0,wat is de volgende halte,0.0,wat is de volgende halte,0.0,wat is de volgende halte,0.0,wat is de volgende halte,0.0,wat is de volgende halte,0.0,wat is de volgende halte,0.0,wat is de volgende halte,0.0,het is de volgende halte,0.2
wat is de volgende stop,wat is de volgende stop,wat is de volgende stop,0.0,wat is de volgende stop,0.0,wat is de volgende stop,0.0,wat is de volgende stop,0.0,wat is de volgende stop,0.0,wat is de volgende stop,0.0,wat is de volgende stop,0.0,wat is de volgende,0.2,wat is de volgende stop,0.0,wat is de volgende stop,0.0,wat is de volgende stop,0.0,wat is de volgende stap,0.2,wat is de volgende stop,0.0,wat is de volgende stop,0.0,wat is de volgende stop,0.0,wat is de volgende stop,0.0,wat is de volgende stop,0.0,wat is de volgende stop,0.0,wat is de volgende stop,0.0,wat is de volgende stop,0.0
waar stoppen we zometeen,waar stoppen we zometeen,waar stoppen we zometeen,0.0,hij stopt we zometeen,0.5,waar stoppen we zometeen,0.0,maar stoppen we zometeen,0.25,waar stoppen we zometeen,0.0,waar stoppen we zometeen,0.0,waar stoppen we zometeen,0.0,waar stoppen we zometeen,0.0,waar stoppen we zometeen,0.0,we stoppen we zometeen,0.25,waar stoppen we zometeen,0.0,maar stoppen we zometeen,0.25,waar stoppen we zometeen,0.0,het wordt stop we zometeen,0.75,waar stoppen we zometeen,0.0,waar stoppen we zometeen,0.0,waar stoppen we zometeen,0.0,we stoppen we zometeen,0.25,waar stoppen we zometeen,0.0,maar stoppen we zometeen,0.25
waar zijn we nu,waar zijn we nu,waar zijn we nu,0.0,,1.0,waar zijn we nu,0.0,,1.0,waar zijn we nu,0.0,,1.0,waar zijn we nu,0.0,,1.0,waar zijn we nu,0.0,waar zijn we nu,0.0,waar zijn we nu,0.0,,1.0,waar zijn we nu,0.0,,1.0,waar zijn we nu,0.0,waar zijn we nu,0.0,waar zijn we nu,0.0,,1.0,waar zijn we nu,0.0,,1.0
hoe heet het hier,hoe heet het hier,hoe heet het hier,0.0,,1.0,hoe heet het hier,0.0,,1.0,hoe heet het hier,0.0,,1.0,hoe heet het hier,0.0,,1.0,hoe heet het hier,0.0,hoe heet het hier,0.0,hoe heet het hier,0.0,,1.0,hoe heet het hier,0.0,,1.0,hoe heet het hier,0.0,hoe heet het hier,0.0,hoe heet het hier,0.0,,1.0,hoe heet het hier,0.0,,1.0
wat is de huidige locatie,wat is de huidige locatie,wat is de huidige locatie,0.0,wat is de huidige locatie,0.0,wat is de huidige locatie,0.0,wat is de huidige locatie,0.0,wat is de huidige locatie,0.0,wat is de huidige locatie,0.0,wat is de huidige locatie,0.0,wat is de huidige locatie,0.0,wat is de huidige locatie,0.0,wat is de huidige locatie,0.0,wat is de huidige locatie,0.0,we hadden ze de huidige locatie,0.6,wat is de huidige locatie,0.0,wat is de huidige locatie,0.0,wat is de huidige locatie,0.0,wat is de huidige locatie,0.0,wat is de huidige locatie,0.0,wat is de huidige locatie,0.0,wat is de huidige locatie,0.0,wat is de huidige locatie,0.0
ik wil graag een tussenstop,ik wil graag een tussenstop,ik wil graag een tussenstop,0.0,ik wil graag een tussenstop,0.0,ik wil graag een tussenstop,0.0,ik wil graag een tussenstop,0.0,ik wil graag een tussenstop,0.0,ik wil graag een tussenstop,0.0,ik wil graag een tussenstop,0.0,ik wil graag een tussenstop,0.0,ik wil graag een tussenstop,0.0,ik wil graag een tussenstop,0.0,ik wil graag een tussenstop,0.0,ik wil graag een tussenstop,0.0,ik wil graag een tussenstop,0.0,ik wil graag een tussenstop,0.0,ik wil graag een tussenstop,0.0,ik wil graag een tussenstop,0.0,ik wil graag een tussenstop,0.0,ik wil graag een tussenstop,0.0,ik wil graag een tussenstop,0.0,ik wil graag een tussenstop,0.0
hoeveel kost de reis,hoeveel kost de reis,hoeveel kost de reis,0.0,hoeveel kost de reis,0.0,hoeveel kost de reis,0.0,hoeveel kost de reis,0.0,hoeveel kost de reis,0.0,hoeveel kost de reis,0.0,hoeveel kost de reis,0.0,hoeveel kost de reis,0.0,hoeveel kost de reis,0.0,hoeveel kost de reis,0.0,hoeveel kost de reis,0.0,hoeveel kost de reis,0.0,hoeveel kost de reis,0.0,hoeveel kost de reis,0.0,hoeveel kost de reis,0.0,hoeveel kost de reis,0.0,hoeveel kost de reis,0.0,hoeveel kost de reis,0.0,hoeveel kost de reis,0.0,hoezo costa reis,0.75
hoe duur is het,hoe duur is het,hoe duur is het,0.0,,1.0,hoe duur is het,0.0,hoe duur is,0.25,hoe duur is het,0.0,,1.0,hoe duur is het,0.0,,1.0,hoe duur is het,0.0,hoe duur is hebt,0.25,hoe duur is het,0.0,,1.0,hoe duur is het,0.0,,1.0,hoe duur is het,0.0,hoe duur is hard,0.25,hoe duur is het,0.0,,1.0,hoe duur is het,0.0,,1.0
hoeveel moet ik betalen,hoeveel moet ik betalen,hoeveel moet ik betalen,0.0,hoeveel moet ik betalen,0.0,hoeveel moet ik betalen,0.0,hoe moet ik betalen,0.25,hoeveel moet ik betalen,0.0,hoeveel moeten betalen,0.5,hoeveel moet ik betalen,0.0,moet moeten betalen,0.5,hoeveel moet ik betalen,0.0,hoeveel moeten betalen,0.5,hoeveel moet ik betalen,0.0,hoeveel moet ik betalen,0.0,hoeveel moet ik betalen,0.0,hoeveel moet ik betalen,0.0,hoeveel moet ik betalen,0.0,hoeveel moet ik betalen,0.0,hoeveel moet ik betalen,0.0,hoeveel moet ik betalen,0.0,hoeveel moet ik betalen,0.0,hoe moet ik betalen,0.25
kunnen we om twaalf uur vertrekken,kunnen we om twaalf uur vertrekken,kunnen we om twaalf uur vertrekken,0.0,kunnen we om twaalf uur vertrekken,0.0,kunnen we om twaalf uur vertrekken,0.0,we kunnen ons twaalf uur vertrekken,0.5,kunnen we om twaalf uur vertrekken,0.0,kunnen we rond twaalf uur vertrekken,0.16666666666666666,kunnen we om twaalf uur vertrekken,0.0,kunnen we om twaalf uur vertrekken,0.0,kunnen we om twaalf uur vertrekken,0.0,kunnen we om twaalf uur vertrekken,0.0,kunnen we om twaalf uur vertrekken,0.0,kunnen we om twaalf uur vertrekken,0.0,kunnen we om twaalf een vertrekken,0.16666666666666666,kunnen we om twaalf uur vertrekken,0.0,kunnen we om twaalf uur vertrekken,0.0,kunnen we om twaalf uur vertrekken,0.0,kunnen we om twaalf uur vertrekken,0.0,kunnen we om twaalf uur vertrekken,0.0,kunnen we om twaalf uur vertrekken,0.0,wel twaalf uur vertrekken,0.5
kunnen we om half vijf vertrekken,kunnen we om half vijf vertrekken,kunnen we om half vijf vertrekken,0.0,kunnen we om half vijf vertrekken,0.0,kunnen we om half vijf vertrekken,0.0,kunnen we om half vijf vertrekken,0.0,kunnen we om half vijf vertrekken,0.0,kunnen we om half vijf vertrekken,0.0,kunnen we om half vijf vertrekken,0.0,kunnen we om half vijf vertrekken,0.0,kunnen we om half vijf vertrekken,0.0,kunnen we om half vijf vertrekken,0.0,kunnen we om half vijf vertrekken,0.0,kunnen we om half vijf trekken,0.16666666666666666,kunnen we om half vijf vertrekken,0.0,kunnen we om half vijf vertrekken,0.0,kunnen we om half vijf vertrekken,0.0,kunnen we om half vijf vertrekken,0.0,kunnen we om half vijf vertrekken,0.0,kunnen we om half vijf vertrekken,0.0,kunnen we om half vijf vertrekken,0.0,om half vijf vertrekken,0.3333333333333333
kan je nog even wachten tot kwart over twaalf,kan je nog even wachten tot kwart over twaalf,kan je nog even wachten tot kwart over twaalf,0.0,kan je nog even wachten tot kwart over twaalf,0.0,kan je nog even wachten tot kwart over twaalf,0.0,kan er nog even wachten tot kwart over twaalf,0.1111111111111111,kan je nog even wachten tot kwart over twaalf,0.0,kan je je nog even wachten tot kwart over twaalf,0.1111111111111111,kan je nog even wachten tot kwart over twaalf,0.0,kan je nog even wachten tot kwart over twaalf,0.0,kan je nog even wachten tot kwart over twaalf,0.0,kan je nog even wachten tot kwart over twaalf,0.0,kan je nog even wachten tot kwart over twaalf,0.0,kan je nog even wachten tot kwart over twaalf,0.0,kan je nog even wachten tot kwart over twaalf,0.0,kan je nog even wachten tot kwart over twaalf,0.0,kan je nog even wachten tot kwart over twaalf,0.0,kun je nog even wachten tot kwart over twaalf,0.1111111111111111,kan je nog even wachten tot kwart over twaalf,0.0,kan je nog even wachten tot kwart over twaalf,0.0,kan je nog even wachten tot kwart voor twaalf,0.1111111111111111,maar nog even wachten tot kwart voor twaalf,0.3333333333333333
kan je nog even wachten tot zes uur,kan je nog even wachten tot zes uur,kan je nog even wachten tot zes uur,0.0,kan je nog even wachten tot zes uur,0.0,kan je nog even wachten tot zes uur,0.0,ga je nog even wachten tot zes uur,0.125,kan je nog even wachten tot zes uur,0.0,kan je je nog even wachten tot zes uur,0.125,kan je nog even wachten tot zes uur,0.0,kan je nog even wachten tot zes uur,0.0,kan je nog even wachten tot zes uur,0.0,kan je nog even wachten tot zes uur,0.0,kan je nog even wachten tot zes uur,0.0,kan je nog even wachten tot zes uur,0.0,kan je nog even wachten tot zes uur,0.0,kan je nog even wachten tot zes uur,0.0,kan je nog even wachten tot zes uur,0.0,kan je nog even wachten tot zes uur,0.0,kan je nog even wachten tot zes uur,0.0,kan je nog even wachten tot zes uur,0.0,kan je nog even wachten tot zes uur,0.0,maar je nog even wachten tot zes uur,0.125
